Num_Acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
2,02E+11;18;1;24;1505;1;1;4;1;1;5;route des Ansereuilles;M;5055737;294992;590
2,02E+11;18;2;12;1015;1;2;7;7;7;11;Place du gйnйral de Gaul;M;5052936;293151;590
2,02E+11;18;3;4;1135;1;2;3;1;7;477;Rue  nationale;M;5051243;291714;590
2,02E+11;18;5;5;1735;1;2;1;7;3;52;30 rue Jules Guesde;M;5051974;289123;590
2,02E+11;18;6;26;1605;1;2;1;1;3;477;72 rue Victor Hugo;M;5051607;290605;590
2,02E+11;18;9;23;630;2;2;1;2;6;52;D39;M;5052132;288837;590
2,02E+11;18;9;26;40;5;2;1;1;6;133;4 route de camphin;M;5052211;296652;590
2,02E+11;18;11;30;1715;5;2;1;1;6;11;rue saint exupйry;M;5053146;293875;590
2,02E+11;18;2;18;1557;1;1;1;1;6;550;rue de l'йgalitй;M;5053707;284896;590
2,02E+11;18;3;19;1530;1;2;2;1;1;51;face au 59 rue de Lille;M;5053639;281517;590
2,02E+11;18;5;28;1830;1;2;6;1;3;51;76 route de Lille;M;5054194;281987;590
2,02E+11;18;5;31;430;5;1;6;5;6;250;RN41-D 145;M;5058465;290868;590
2,02E+11;18;6;15;845;1;1;1;1;3;257;rue delval;M;5061613;283783;590
2,02E+11;18;7;19;1022;1;2;1;1;6;51;26 rue d'estaires;M;5053196;280251;590
2,02E+11;18;10;31;1945;3;1;1;1;6;303;rue chobourdin;M;5057886;285234;590
2,02E+11;18;1;15;725;2;2;2;1;6;398;Rue Nationale;M;5051098;312175;590
2,02E+11;18;2;9;1515;1;2;1;4;6;129;rue de l'йgalitй;M;5051293;316665;590
2,02E+11;18;4;7;1145;1;2;3;1;2;71;CD 917;M;5048030;313456;590
2,02E+11;18;4;17;1610;1;1;3;7;2;197;Intersection CD 145 - Ru;M;5054792;314516;590
2,02E+11;18;5;27;1600;1;1;1;1;7;586;rue de wachemy;M;5054129;318902;590
2,02E+11;18;6;12;1745;1;2;1;1;6;34;rue de Seclin;M;5053925;307765;590
2,02E+11;18;7;12;1700;1;2;1;1;6;398;1405 route nationale;M;5050590;312429;590
2,02E+11;18;10;12;1845;2;1;1;1;3;197;PONT THIBAUT;M;5053476;310671;590
2,02E+11;18;12;5;1133;1;2;1;2;6;586;Rue Grande Campagne;M;5052832;317434;590
2,02E+11;18;2;9;1115;1;2;1;4;7;452;rue florent Evrard;M;5045918;303419;590
2,02E+11;18;4;14;1305;1;1;1;1;3;411;CD 954;M;5047812;310784;590
2,02E+11;18;3;28;1700;1;1;2;2;5;87;RD943B;M;5066745;245763;590
2,02E+11;18;6;17;1215;1;2;1;1;6;84;route d'hazebrouck;M;5069514;242763;590
2,02E+11;18;9;16;1430;1;1;1;1;7;184;RD642;M;5073020;241800;590
2,02E+11;18;1;13;1950;5;2;1;1;7;535;rue de bailleul;M;5076039;272401;590
2,02E+11;18;2;3;530;3;1;1;8;7;401;Route Dйpartementale 642;M;5073276;268824;590
2,02E+11;18;5;1;1515;1;2;1;1;6;401;6 rue nationale;M;5073981;269707;590
2,02E+11;18;7;6;1509;1;1;3;1;5;401;RD 642;M;5073351;269505;590
2,02E+11;18;2;3;745;2;1;1;1;1;268;Rue du Grand Chemin;M;5063499;273765;590
