Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
2,018E+11;3;41;;C;2;2;;;0;1;3;;;1;0;1;0
2,018E+11;4;41;;D;2;2;;;0;1;2;;;1;0;1;0
2,018E+11;3;39;;D;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;39;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;4;;;;1;1;;;0;1;1;;;1;0;1;0
2,018E+11;3;39;;D;0;2;;;0;2;2;;;2;0;3;0
2,018E+11;3;41;;D;2;2;16;500;0;1;1;;;1;0;3;0
2,018E+11;4;-;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;141;;D;2;2;;;0;1;1;;;1;0;3;0
2,018E+11;3;641;;;2;2;1;670;2;1;1;;;1;0;1;0
2,018E+11;3;641;;;2;2;;;1;1;1;;;1;0;1;0
2,018E+11;2;41;;;3;4;36;1;3;1;1;;;1;0;1;0
2,018E+11;3;22;;C;2;2;;;0;1;2;;;1;0;1;0
2,018E+11;3;947;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;22;;;2;2;;;0;1;1;;;2;0;3;0
2,018E+11;3;917;;;2;2;;;2;1;1;;;1;6;1;0
2,018E+11;4;;;;2;2;;;0;1;1;;;2;0;4;0
2,018E+11;3;917;;;2;2;23;785;0;1;1;;;1;0;1;0
2,018E+11;3;145;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;1;2;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;917;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;917;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;4;;;;2;2;;;0;1;1;;;2;6;1;0
2,018E+11;3;54;;;2;2;2;480;0;1;1;;;2;0;4;0
2,018E+11;3;954;;;2;2;;;0;1;3;;;1;0;1;0
2,018E+11;3;238;;;;;;;;;;;;;;;
2,018E+11;3;106;;;2;2;;;0;1;1;;;1;0;3;0
2,018E+11;3;642;;;2;2;19;900;0;1;1;;;1;0;3;0
2,018E+11;3;10;;;2;2;8;500;0;1;1;;;1;0;1;0
2,018E+11;3;642;;;3;2;0;600;0;2;1;;;1;0;3;0
2,018E+11;3;933;;;2;2;30;790;1;1;1;;;1;0;1;0
2,018E+11;3;18;;;;;;;;;;;;;;;
2,018E+11;3;947;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;10;;;2;2;13;400;0;1;1;;;2;0;3;0
2,018E+11;3;166;;;2;2;;;0;1;3;;;1;0;1;0
2,018E+11;3;122;;;2;2;26;900;0;1;1;;;1;0;1;0
2,018E+11;3;322;;D;2;2;1;481;0;1;1;;;1;5;1;0
2,018E+11;3;945;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;122;;;2;2;26;0;0;1;1;;;1;0;1;0
2,018E+11;9;;;;;;;;;1;1;;;1;0;1;0
2,018E+11;3;69;;;2;2;20;;0;1;1;;;1;0;3;0
2,018E+11;3;916;;;2;2;0;50;0;2;1;;;1;2;1;0
2,018E+11;3;23;;C;2;2;2;250;0;1;1;;;1;0;1;0
2,018E+11;3;122;;;2;2;13;875;0;1;3;;;1;0;3;0
2,018E+11;3;122;;D;2;2;13;100;0;1;2;;;2;0;3;0
2,018E+11;3;90;;;2;2;;;0;1;1;;;2;0;1;0
2,018E+11;3;90;;D;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;955;;;2;2;;;0;1;2;;;1;0;1;0
2,018E+11;3;955;;;2;2;;;0;1;3;;;2;0;1;0
2,018E+11;3;955;;;2;1;60;150;0;1;1;;;1;0;1;0
2,018E+11;3;90;;;;;;;;;;;;;;;
2,018E+11;3;94;;;2;2;;;1;1;3;;;2;0;1;0
2,018E+11;3;955;;D;2;2;;;0;3;1;;;1;0;1;0
2,018E+11;3;145;;D;2;2;;;0;1;1;;;1;5;1;0
2,018E+11;3;36;;D;2;2;3;670;0;1;1;;;1;0;1;0
2,018E+11;3;36;;A;2;2;0;936;0;1;1;;;1;0;3;0
2,018E+11;3;57;;;2;2;5;80;0;1;1;;;1;0;1;0
2,018E+11;3;257;;;2;2;1;800;2;1;1;;;1;0;1;0
2,018E+11;3;36;;;;;;;;;;;;;;;
2,018E+11;9;0;;;2;2;;;0;1;1;;;2;0;1;0
2,018E+11;3;40;;A;2;2;;;0;1;3;;;2;0;4;0
2,018E+11;3;45;;;2;2;2;200;0;1;1;;;2;0;3;0
2,018E+11;3;49;;D;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;81;;;2;2;;;0;1;4;;;1;0;3;0
2,018E+11;3;630;;D;2;2;;;0;1;1;;;1;0;4;0
2,018E+11;3;148;;;2;2;5;;0;1;1;;;1;0;1;0
2,018E+11;4;;;;2;2;3;;0;1;1;;;1;0;1;0
2,018E+11;3;962;;;2;2;8;409;0;4;1;;;1;0;3;0
2,018E+11;3;424;;;2;2;1;230;0;2;4;;53;2;0;1;0
2,018E+11;3;104;;;2;2;5;280;0;1;1;;;2;0;1;0
2,018E+11;3;962;;;2;2;6;334;0;3;1;;;5;0;3;0
2,018E+11;2;2;;;2;2;7;200;0;1;1;;;1;0;3;0
2,018E+11;3;116;;;2;2;14;989;0;1;1;;48;1;0;3;0
2,018E+11;2;2;;;2;2;3;582;0;1;1;;;1;0;1;0
2,018E+11;2;2;;;2;2;5;400;0;2;1;;;1;0;3;0
2,018E+11;4;;;;2;2;;;0;1;1;;;1;5;1;0
2,018E+11;4;;;;2;2;1;;0;1;1;;;1;0;1;0
2,018E+11;3;124;;;2;2;;;0;1;1;;;1;0;1;0
2,018E+11;3;424;;;2;2;;;0;4;3;;;1;0;1;0
2,018E+11;3;951;;;2;2;33;500;1;1;1;;;1;0;1;0
