Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
2,018E+11;0;7;0;0;2;3;1;B01
2,018E+11;0;7;0;0;2;2;15;A01
2,018E+11;0;7;0;0;1;0;1;A01
2,018E+11;0;33;0;1;2;1;1;A01
2,018E+11;0;7;0;0;2;8;15;B01
2,018E+11;0;7;0;0;0;7;24;C01
2,018E+11;0;1;0;0;2;8;0;B01
2,018E+11;0;7;0;0;9;2;21;A01
2,018E+11;0;2;0;0;2;2;17;A01
2,018E+11;0;7;0;0;2;3;20;B01
2,018E+11;0;7;0;6;1;2;1;A01
2,018E+11;0;7;0;8;0;8;0;A01
2,018E+11;0;7;0;0;1;2;1;A01
2,018E+11;1;33;0;16;0;3;1;A01
2,018E+11;0;33;0;0;2;1;17;A01
2,018E+11;0;7;0;6;0;8;15;B01
2,018E+11;0;7;0;0;9;3;15;A01
2,018E+11;0;30;0;0;2;1;0;B01
2,018E+11;1;7;0;8;0;0;0;A01
2,018E+11;0;33;0;0;2;8;5;A01
2,018E+11;0;7;0;0;2;3;1;B01
2,018E+11;0;7;0;0;1;2;1;A01
2,018E+11;0;7;0;13;0;3;1;A01
2,018E+11;0;7;0;0;1;7;1;A01
2,018E+11;1;7;0;9;0;3;0;A01
2,018E+11;2;2;0;0;2;1;1;A01
2,018E+11;2;7;0;0;2;4;23;B01
2,018E+11;0;33;0;0;2;2;17;B01
2,018E+11;0;7;0;0;0;6;15;A01
2,018E+11;2;7;0;12;2;3;2;A01
2,018E+11;2;1;0;12;0;7;1;B01
2,018E+11;0;7;0;0;2;1;15;A01
2,018E+11;0;32;0;0;2;7;21;B01
2,018E+11;0;7;0;0;1;3;1;A01
2,018E+11;0;7;0;0;2;1;17;B01
2,018E+11;0;7;0;0;2;6;15;A01
2,018E+11;2;7;0;0;1;3;1;A01
2,018E+11;0;7;0;1;0;3;1;A01
2,018E+11;0;7;0;0;2;9;1;A01
2,018E+11;0;7;0;0;2;2;1;B01
2,018E+11;2;7;0;0;2;1;1;A01
2,018E+11;2;7;0;0;2;4;1;B01
2,018E+11;1;13;0;0;2;3;1;C01
2,018E+11;0;33;0;9;0;1;1;A01
2,018E+11;0;7;0;13;0;3;13;A01
2,018E+11;2;7;0;0;1;2;2;A01
2,018E+11;2;7;0;3;0;9;1;A01
2,018E+11;2;7;0;0;1;1;1;A01
2,018E+11;1;10;0;0;2;5;15;B01
2,018E+11;1;10;0;0;2;6;1;C01
2,018E+11;2;33;0;0;2;1;17;A01
2,018E+11;0;7;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;1;0;A01
2,018E+11;2;10;0;13;0;1;1;A01
2,018E+11;0;7;0;0;0;8;0;A01
2,018E+11;0;33;0;0;2;2;1;B01
2,018E+11;2;7;0;0;2;1;17;A01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;8;15;B01
2,018E+11;2;15;0;0;2;3;1;A01
2,018E+11;0;21;0;0;0;8;1;B01
2,018E+11;0;33;0;0;2;1;17;A01
2,018E+11;1;7;0;0;0;4;23;B01
2,018E+11;1;2;0;14;0;1;1;A01
2,018E+11;2;7;0;0;9;8;1;C01
2,018E+11;0;7;0;0;2;3;1;B01
2,018E+11;0;7;0;0;2;3;13;A01
2,018E+11;0;34;0;13;0;1;2;A01
2,018E+11;2;15;0;10;2;3;1;B01
2,018E+11;0;15;0;10;2;2;13;A01
2,018E+11;1;7;0;0;9;2;17;B01
2,018E+11;1;1;0;0;0;8;2;A01
2,018E+11;2;7;0;10;0;1;0;A01
2,018E+11;1;7;0;13;0;3;0;A01
2,018E+11;0;7;0;0;1;3;1;A01
2,018E+11;0;7;0;0;2;2;5;A01
2,018E+11;0;7;0;0;2;7;5;B01
2,018E+11;0;7;0;0;1;2;1;A01
2,018E+11;0;13;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;1;5;A01
2,018E+11;0;7;0;0;9;1;0;A01
2,018E+11;1;1;0;0;0;4;2;B01
2,018E+11;0;2;0;0;2;1;17;A01
2,018E+11;0;7;0;0;0;3;15;B01
2,018E+11;0;7;0;0;2;8;9;A01
2,018E+11;0;33;0;0;2;2;1;B01
2,018E+11;0;33;0;0;0;8;15;B01
2,018E+11;0;7;0;0;0;1;19;A01
2,018E+11;0;2;0;14;2;1;17;A01
2,018E+11;0;7;0;0;0;6;23;B01
2,018E+11;2;7;0;0;9;2;2;A01
2,018E+11;2;1;0;0;2;6;2;B01
2,018E+11;2;7;0;13;0;2;19;A01
2,018E+11;2;7;0;0;2;8;17;A01
2,018E+11;2;7;0;0;2;1;17;B01
2,018E+11;2;7;0;0;2;8;19;A01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;1;7;0;0;1;3;1;A01
2,018E+11;2;7;0;1;2;1;17;A01
2,018E+11;0;7;0;0;2;5;17;B01
2,018E+11;1;7;0;0;2;1;1;D01
2,018E+11;0;7;0;6;0;1;13;A01
2,018E+11;1;7;0;13;0;9;1;A01
2,018E+11;0;7;0;0;2;1;1;A01
2,018E+11;0;7;0;0;2;1;1;B01
2,018E+11;0;33;0;0;0;0;2;B01
2,018E+11;0;31;0;0;0;0;2;A01
2,018E+11;0;33;0;0;0;8;1;A01
2,018E+11;0;7;0;0;0;9;0;A01
2,018E+11;1;7;0;2;0;1;1;A01
2,018E+11;1;7;0;2;0;1;13;A01
2,018E+11;0;7;0;0;0;3;1;B01
2,018E+11;0;7;0;0;2;1;1;A01
2,018E+11;0;7;0;9;2;6;1;A01
2,018E+11;0;7;0;0;0;1;13;A01
2,018E+11;2;15;0;6;0;1;13;A01
2,018E+11;0;33;0;13;0;1;1;A01
2,018E+11;2;7;0;9;2;2;15;A01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;0;7;0;13;0;0;1;A01
2,018E+11;0;7;0;0;2;3;1;A01
2,018E+11;0;2;0;0;0;3;1;B01
2,018E+11;0;34;0;2;2;9;2;B01
2,018E+11;0;7;0;0;2;7;2;A01
2,018E+11;0;10;0;0;0;6;15;A01
2,018E+11;0;31;0;0;2;1;2;B01
2,018E+11;0;7;0;0;2;7;2;A01
2,018E+11;0;1;0;0;2;8;2;B01
2,018E+11;1;7;0;0;2;1;17;A01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;1;19;B01
2,018E+11;1;7;0;0;2;8;1;A01
2,018E+11;0;7;0;0;2;1;1;A01
2,018E+11;0;7;0;0;2;2;15;B01
2,018E+11;0;7;0;0;2;1;1;A01
2,018E+11;0;3;0;0;2;1;13;B01
2,018E+11;2;7;0;8;0;3;13;A01
2,018E+11;0;7;0;0;2;7;15;A01
2,018E+11;0;7;0;0;2;1;1;B01
2,018E+11;0;7;0;8;0;1;16;A01
2,018E+11;0;7;0;3;0;2;21;A01
2,018E+11;0;15;0;0;2;2;1;C01
2,018E+11;0;7;0;0;2;1;2;B01
2,018E+11;1;15;0;7;0;1;1;A01
2,018E+11;2;7;0;0;1;3;9;A01
2,018E+11;2;2;0;14;0;1;17;A01
2,018E+11;0;7;0;8;0;1;1;A01
2,018E+11;2;7;0;0;9;1;2;A01
2,018E+11;2;1;0;0;0;4;1;B01
2,018E+11;1;7;0;0;1;2;16;A01
2,018E+11;1;7;0;0;1;2;1;A01
2,018E+11;0;7;0;9;2;1;14;B01
2,018E+11;0;7;0;7;0;8;19;A01
2,018E+11;1;2;0;0;2;4;10;A01
2,018E+11;1;7;0;0;2;1;2;B01
2,018E+11;2;7;0;0;2;1;1;C01
2,018E+11;0;2;0;0;2;1;1;A01
2,018E+11;0;7;0;0;2;3;15;B01
2,018E+11;2;7;0;0;2;5;13;A01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;6;1;C01
2,018E+11;0;7;0;6;0;7;1;A01
2,018E+11;2;7;0;0;1;2;1;A01
2,018E+11;1;7;0;0;2;8;1;A01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;0;7;0;0;1;3;4;A01
2,018E+11;2;7;0;0;2;1;2;A01
2,018E+11;2;7;0;0;2;4;2;B01
2,018E+11;0;2;0;0;1;1;1;A01
2,018E+11;2;7;0;0;9;2;0;A01
2,018E+11;0;1;0;0;0;7;0;B01
2,018E+11;2;30;0;0;0;2;0;B01
2,018E+11;1;7;0;0;2;3;0;A01
2,018E+11;1;33;0;0;2;7;1;A01
2,018E+11;0;7;0;0;2;8;1;B01
2,018E+11;0;3;0;0;2;1;19;C01
2,018E+11;0;7;0;0;0;5;2;A01
2,018E+11;0;33;0;0;2;1;2;B01
2,018E+11;0;7;0;13;0;1;1;A01
2,018E+11;0;7;0;0;2;5;10;A01
2,018E+11;0;7;0;0;2;6;23;C01
2,018E+11;0;7;0;0;2;3;1;B01
2,018E+11;0;2;0;0;2;1;1;A01
2,018E+11;0;7;0;0;2;3;17;B01
2,018E+11;1;7;0;0;0;8;19;B01
2,018E+11;2;7;0;0;2;1;1;A01
2,018E+11;0;2;0;0;0;0;1;A01
2,018E+11;1;33;0;0;0;1;1;A01
2,018E+11;2;7;0;13;0;1;1;A01
2,018E+11;1;7;0;1;0;1;1;A01
2,018E+11;1;7;0;0;2;8;1;B01
2,018E+11;1;10;0;9;2;2;17;A01
2,018E+11;1;7;0;13;0;1;1;A01
2,018E+11;1;7;0;13;0;1;1;A01
2,018E+11;1;33;0;13;0;1;1;A01
2,018E+11;0;7;0;12;0;1;0;A01
2,018E+11;1;7;0;8;0;9;1;A01
2,018E+11;0;7;0;0;2;2;15;B01
2,018E+11;2;2;0;0;2;1;1;A01
2,018E+11;2;7;0;0;2;3;0;A01
2,018E+11;1;2;0;0;2;8;0;B01
2,018E+11;0;33;0;13;0;1;2;A01
2,018E+11;2;33;0;0;9;0;14;A01
2,018E+11;2;2;0;3;2;3;1;B01
2,018E+11;1;7;0;0;2;3;15;A01
2,018E+11;0;33;0;6;0;1;0;A01
2,018E+11;1;17;0;0;2;2;2;A01
2,018E+11;1;21;0;0;0;5;16;B01
2,018E+11;0;35;0;0;0;0;15;A01
2,018E+11;1;7;0;0;2;6;20;B01
2,018E+11;1;33;0;0;2;1;17;A01
2,018E+11;0;2;0;0;2;3;11;B01
2,018E+11;0;7;0;0;2;7;12;A01
2,018E+11;1;2;0;13;0;0;15;A01
2,018E+11;1;2;0;0;2;8;15;A01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;0;7;0;0;1;3;1;A01
2,018E+11;0;7;0;0;2;8;1;D01
2,018E+11;0;7;0;7;2;7;1;B01
2,018E+11;0;7;0;0;9;1;1;E01
2,018E+11;0;7;0;0;2;1;9;A01
2,018E+11;0;7;0;0;2;8;1;C01
2,018E+11;0;7;0;0;2;2;2;A01
2,018E+11;0;7;0;0;0;6;24;B01
2,018E+11;0;7;0;0;2;3;15;A01
2,018E+11;0;33;0;0;2;2;17;B01
2,018E+11;0;7;0;0;2;8;1;B01
